Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,Customer_Type,City,Branch,Product,Category,Quantity,Unit_Price,Discount_%,Discount_Amount,Total_Amount,Payment_Method,Order_Type,Rating,Delivery_Minutes
ORD-010949,02-01-2025 21:51,CUST15327,Keerthi,35,Male,Regular,Chennai,Triplicane,Masala Tea,Beverage,1,90,0,0,94.5,Wallet,Dine In,5,
ORD-041930,19-08-2025 16:18,CUST19867,,61,Female,Walk-in,Kanchipuram,Triplicane,Americano,Beverage,1,130,10,13,122.85,Debit Card,Take Away,5,
ORD-015496,25-02-2024 13:09,CUST3099,Priya,54,Other,Regular,Tambaram,OMR,Chocolate Muffin,Food,3,150,0,0,472.5,UPI,Dine In,5,42
ORD-027240,10-03-2023 19:44,CUST19726,Nisha,47,Female,Regular,Chengalpattu,  Velachery  ,Cheese Sandwich,FOOD,3,220,0,0,693,UPI,Take Away,5,
ORD-048340,04-12-2025 02:44,CUST11009,Sanjay,46,Female,Member,Ambattur,Anna Nagar,Espresso,Beverage,3,110,10,33,311.85,Credit Card,Delivery,5,
ORD-016340,09-12-2025 15:16,CUST15614,Monish,27,Male,walk-in,Chengalpattu,T Nagar,Iced Latte,Beverage,4,180,0,0,756,Credit Card,Take Away,3,50
ORD-004242,03-05-2025 04:34,CUST18958,Aishwarya,42,FEMALE,Member,Kanchipuram,OMR,Masala Tea,Beverage,2,90,10,18,170.1,Cash,Dine In,,
ORD-011900,13-09-2024 18:47,CUST13540,Arun,37,Other,Member,Ambattur,Adyar,Latte,beverage,2,170,0,0,357,Debit Card,Take Away,5,
ORD-027879,19-03-2025 22:10,CUST11997,Divya,27,Male,Walk-in,chennai,OMR,Americano,Beverage,1,130,5,6.5,129.68,Credit Card,Delivery,,
ORD-038683,04-12-2025 21:07,CUST20464,Nisha,62,Male,Walk-in,Tambaram,Adyar,Green Tea,Beverage,1,100,10,10,94.5,Credit Card,  Dine In  ,4,
ORD-047776,21-11-2025 08:54,CUST13391,Sanjay,59,Male,Member,Tambaram,OMR,Cheese Sandwich,Food,1,220,5,11,219.45,Wallet,Take Away,5,64
ORD-023237,05-10-2024 01:14,CUST5301,Harish,40,Female,Member,Chengalpattu,Triplicane,Chocolate Muffin,Food,1,150,15,22.5,133.88,Cash,Delivery,,
ORD-049744,02-11-2024 13:45,CUST19510,Meena,64,Female,Walk-in,Chennai,T Nagar,Cheese Sandwich,Food,2,220,10,44,415.8,Cash,Delivery,5,
ORD-014334,13-03-2025 03:25,CUST3552,Arun,37,Other,New,Kanchipuram,Porur,Blueberry Muffin,Food,2,140,0,0,294,Wallet,Dine In,4,60
ORD-021510,21-10-2025 11:08,CUST12003,Priya,44,Male,Walk-in,Chennai,Triplicane,Latte,Beverage,1,170,15,25.5,151.73,Upi,Take Away,5,
ORD-016480,07/30/2023 10:25,CUST4354,Sanjay,25,Male,New,Tambaram,Besant Nagar,Iced Latte,Beverage,1,180,15,27,160.65,Cash,Delivery,4,
ORD-001920,03-12-2023 14:27,CUST19823,Keerthi,39,Male,Member,Tambaram,Mylapore,Caramel Macchiato,Beverage,3,230,5,34.5,688.27,Credit Card,Dine In,3,
ORD-019077,17-01-2025 06:51,CUST19955,Nisha,19,Other,Walk-in,Chengalpattu,Anna Nagar,Cold Coffee,Beverage,3,190,0,0,598.5,WALLET,Delivery,4,
ORD-014476,01-10-2024 00:31,CUST3358,Keerthi,42,Other,New,Kanchipuram,Mylapore,Filter Coffee,Beverage,1,90,10,9,85.05,Wallet,Dine In,4,69
